Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Did It On’em,Nicki Minaj,Pink Friday (Deluxe Edition),3N9kar9VT6yLh3cqPEwlbS,6BSwQkA7kC6iFEBHyg2tcu,0,2010-11-22,212347,True,https://open.spotify.com/track/6BSwQkA7kC6iFEBHyg2tcu,0.557,0.415,9,-7.031,0,0.348,0.0448,0.0,0.203,0.496,155.752
Feeling Myself,"Nicki Minaj,Beyoncé",The Pinkprint (Deluxe),5ooCuPIk58IwSo6DRr1JCu,5fyIGoaaKelzdyW8ELhYJZ,63,2014-12-15,237840,True,https://open.spotify.com/track/5fyIGoaaKelzdyW8ELhYJZ,0.564,0.703,2,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045
Kiss Me More (feat. SZA),"Doja Cat,SZA",Kiss Me More (feat. SZA),1OnzqJTL9bwe4kvaLxRYxt,748mdHapucXQri7IAO8yFK,76,2021-04-09,208867,True,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
Gonorrhea,"Lil Wayne,Drake",I Am Not A Human Being,5vfnsOgLqsgmEb3vGyc2FO,2k79z9A1dbdQ8gQG8M1Zz5,50,2010-01-01,262440,True,https://open.spotify.com/track/2k79z9A1dbdQ8gQG8M1Zz5,0.715,0.745,9,-5.71,1,0.25,0.0311,0.0,0.0823,0.687,148.042
Les,Childish Gambino,Camp,32KdoFFhgjCLdU0DWL71tx,0mCVNGC4Vvb6gDDQrDpaRh,1,2011-11-15,317293,True,https://open.spotify.com/track/0mCVNGC4Vvb6gDDQrDpaRh,0.524,0.674,1,-7.038,0,0.0895,0.00654,9.3e-05,0.221,0.128,102.901
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky,Drake,2 Chainz,Kendrick Lamar",LONG.LIVE.A$AP (Deluxe Version),1E1eyI5uGllppJZCxNoF9w,4XoP1AkbOurU9CeZ2rMEz2,0,2013-01-11,233787,True,https://open.spotify.com/track/4XoP1AkbOurU9CeZ2rMEz2,0.869,0.687,1,-6.816,1,0.263,0.0208,1e-06,0.114,0.668,96.006
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),5amj9zNeZ3B2EdpBgXrOZ0,0PDUDa38GO8lMxLCRc4lL1,80,2016-03-25,202747,True,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign,The Weeknd,Wiz Khalifa,Mustard","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",3SHx7bBQFI4J8QRr6D5cOK,7t2bFihaDvhIrd2gn2CWJO,80,2014-06-10,242983,True,https://open.spotify.com/track/7t2bFihaDvhIrd2gn2CWJO,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta,Flo Rida,Nicki Minaj",Nothing but the Beat 2.0,5aprcHwM1KJhaY9Kbxkfkn,63rbP24OzfaQCJjsHWZXnY,68,2011-08-24,210093,True,https://open.spotify.com/track/63rbP24OzfaQCJjsHWZXnY,0.664,0.872,3,-3.117,1,0.0396,0.0306,0.0,0.228,0.555,129.873
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,0ByMNEPAPpOR5H69DVrTNy,83,2008-06-02,267080,False,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668
No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame,Roscoe Dash,Wale",Flockaveli,6MQtWELG7aRX7CkAzQ6nLM,03tqyYWC9Um2ZqU0ZN849H,78,2010-10-01,263773,True,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497
Bottoms Up (feat. Nicki Minaj),"Trey Songz,Nicki Minaj","Passion, Pain & Pleasure (Deluxe Version)",3sDoSYf2AKB2IegZmkISGD,4AYX69oFP3UOS1CFmV9UfO,73,2010-09-14,242013,True,https://open.spotify.com/track/4AYX69oFP3UOS1CFmV9UfO,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989
Mr. Rager,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,08eM9GRdr5BCCHNqS3Wwud,393MDhe62s8hbH8ETrlxe5,76,2010-11-09,294227,False,https://open.spotify.com/track/393MDhe62s8hbH8ETrlxe5,0.671,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002
